DeviceId,enter_date,enter_time,leave_time,length_minutes
000ab3d1de032df7608cebccb47e2d6a,2022/05/09,2022-05-09T04:15:45.000Z,2022-05-09T05:14:56.000Z,59
000b567288ed6b75ffc1e9e0094961f2,2022/05/09,2022-05-09T05:15:13.000Z,2022-05-09T13:41:34.000Z,506
001418dddf47e14e16374b4d32e9707e,2022/05/13,2022-05-13T13:44:59.000Z,2022-05-13T16:35:31.000Z,171
0025dd531865eec5626963a8c0e21571,2022/05/12,2022-05-12T20:07:31.000Z,2022-05-12T20:21:21.000Z,14
002ca98ec2db56baedc4d1762fa1adae,2022/05/09,2022-05-09T16:30:01.000Z,2022-05-09T17:05:11.000Z,35
00309bafc7f6f8ffc41996b7dd656690,2022/05/09,2022-05-09T02:03:06.000Z,2022-05-09T02:16:10.000Z,13
0037944dbe4715803ded916594407628,2022/05/13,2022-05-13T13:16:18.000Z,2022-05-13T21:04:38.000Z,468
0037944dbe4715803ded916594407628,2022/05/15,2022-05-15T16:21:49.000Z,2022-05-15T17:51:04.000Z,89
003dc32021501a14a8132bf20c8bb146,2022/05/13,2022-05-13T22:05:05.000Z,2022-05-13T22:34:05.000Z,29
0046ac1b72d40c37876838587e4634a6,2022/05/10,2022-05-10T12:45:19.000Z,2022-05-10T12:53:06.000Z,8
004e3a95b6ca4ad71beb483c8fa9e5a9,2022/05/13,2022-05-13T22:35:32.000Z,2022-05-13T22:45:39.000Z,10
0052e976d1f24bf02d621cc2c30fee16,2022/05/09,2022-05-09T02:40:55.000Z,2022-05-09T18:45:08.000Z,964
0052e976d1f24bf02d621cc2c30fee16,2022/05/12,2022-05-12T03:03:13.000Z,2022-05-12T19:15:46.000Z,973
0052e976d1f24bf02d621cc2c30fee16,2022/05/14,2022-05-14T01:59:04.000Z,2022-05-14T22:38:37.000Z,1240
0052e976d1f24bf02d621cc2c30fee16,2022/05/15,2022-05-15T13:49:05.000Z,2022-05-15T21:12:11.000Z,443
00568709c5972c11c3a9b77d83b44068,2022/05/09,2022-05-09T00:27:31.000Z,2022-05-09T12:58:08.000Z,751
00568709c5972c11c3a9b77d83b44068,2022/05/10,2022-05-10T00:55:34.000Z,2022-05-10T15:43:37.000Z,888
00568709c5972c11c3a9b77d83b44068,2022/05/11,2022-05-11T00:36:47.000Z,2022-05-11T15:44:32.000Z,908
00568709c5972c11c3a9b77d83b44068,2022/05/13,2022-05-13T15:45:23.000Z,2022-05-13T22:10:35.000Z,385
00568709c5972c11c3a9b77d83b44068,2022/05/14,2022-05-14T14:20:00.000Z,2022-05-14T15:44:32.000Z,85
00568709c5972c11c3a9b77d83b44068,2022/05/15,2022-05-15T13:24:53.000Z,2022-05-15T15:43:37.000Z,139
00587ae36a861526036a10a6f6dd4735,2022/05/09,2022-05-09T01:13:23.000Z,2022-05-09T16:34:48.000Z,921
00587ae36a861526036a10a6f6dd4735,2022/05/10,2022-05-10T00:56:40.000Z,2022-05-10T15:23:56.000Z,867
00587ae36a861526036a10a6f6dd4735,2022/05/11,2022-05-11T02:53:07.000Z,2022-05-11T16:21:10.000Z,808
00587ae36a861526036a10a6f6dd4735,2022/05/12,2022-05-12T00:27:36.000Z,2022-05-12T17:18:07.000Z,1011
00587ae36a861526036a10a6f6dd4735,2022/05/13,2022-05-13T01:17:11.000Z,2022-05-13T16:22:42.000Z,906
00587ae36a861526036a10a6f6dd4735,2022/05/14,2022-05-14T01:12:30.000Z,2022-05-14T03:57:09.000Z,165
00587ae36a861526036a10a6f6dd4735,2022/05/15,2022-05-15T02:59:17.000Z,2022-05-15T21:55:12.000Z,1136
005e850b9b52e4b20ec66d056e00f375,2022/05/15,2022-05-15T01:06:15.000Z,2022-05-15T01:16:33.000Z,10
005eb92abc4c0b1e6adb980ce5e01b6e,2022/05/14,2022-05-14T21:38:47.000Z,2022-05-14T23:16:13.000Z,97
